Order_ID,Product_Category,Product_Price,Discount_Applied,Delivery_Time_Days,Customer_Type,Payment_Method,Customer_Return_Rate,Product_Rating,Returned,seller_id,marketplace_id,order_timestamp
ORD00001,Home,540.83,130.47,4,Returning,Card,0.03,4.0,0,S005,M001,2025-09-10
ORD00002,Beauty,4602.33,704.11,2,Returning,Card,0.12,3.8,0,S008,M002,2025-11-21
ORD00003,Footwear,620.4,214.49,7,New,Wallet,0.13,3.4,0,S001,M001,2025-10-09
ORD00004,Grocery,2486.25,189.07,7,Returning,COD,0.18,2.2,0,S010,M003,2025-09-04
ORD00005,Home,3613.46,221.54,1,Returning,Wallet,0.22,1.3,0,S003,M001,2025-09-26
ORD00006,Home,1029.94,354.88,5,New,UPI,0.09,1.9,1,S010,M003,2025-10-15
ORD00007,Grocery,2386.18,250.23,7,Returning,Card,0.03,4.0,0,S003,M001,2025-11-08
ORD00008,Footwear,2169.75,693.91,3,Returning,COD,0.09,1.2,0,S003,M001,2025-09-20
ORD00009,Home,3133.15,329.32,2,Returning,Wallet,0.12,3.2,0,S009,M003,2025-10-07
ORD00010,Clothing,4330.23,1498.86,1,New,Card,0.18,2.8,1,S008,M002,2025-10-27
ORD00011,Clothing,3952.03,857.43,7,New,Wallet,0.19,1.1,1,S010,M003,2025-11-14
ORD00012,Home,3040.37,1060.23,7,New,Wallet,0.03,2.3,0,S008,M002,2025-10-25
ORD00013,Grocery,2885.65,907.94,3,Returning,COD,0.02,3.2,0,S001,M001,2025-09-29
ORD00014,Clothing,1738.78,271.18,4,Returning,UPI,0.21,2.2,0,S006,M002,2025-10-07
ORD00015,Grocery,4834.42,761.45,2,Returning,Card,0.02,1.4,0,S001,M001,2025-11-09
ORD00016,Footwear,2652.1,431.3,4,New,Wallet,0.08,4.1,0,S005,M001,2025-09-14
ORD00017,Footwear,3674.57,302.65,6,Returning,Card,0.14,3.5,0,S005,M001,2025-10-03
ORD00018,Footwear,4126.73,1326.86,2,New,Card,0.06,3.0,0,S010,M003,2025-09-26
ORD00019,Clothing,222.3,17.99,4,Returning,COD,0.2,4.4,0,S009,M003,2025-10-15
ORD00020,Home,4152.54,1286.11,2,New,Card,0.21,3.1,1,S009,M003,2025-10-13
ORD00021,Clothing,4960.49,384.22,6,New,UPI,0.18,4.5,0,S003,M001,2025-09-28
ORD00022,Beauty,4151.76,449.15,6,Returning,Card,0.08,3.6,1,S004,M001,2025-11-14
ORD00023,Home,3004.29,331.08,1,Returning,COD,0.11,2.7,0,S009,M003,2025-10-07
ORD00024,Electronics,4869.93,803.87,1,New,UPI,0.25,2.3,0,S010,M003,2025-10-20
ORD00025,Footwear,1975.85,627.28,1,New,COD,0.13,4.3,0,S007,M002,2025-10-16
ORD00026,Clothing,2373.71,739.54,1,Returning,COD,0.18,4.1,0,S010,M003,2025-09-23
ORD00027,Electronics,2464.24,839.28,3,New,Card,0.18,1.2,0,S006,M002,2025-11-02
ORD00028,Electronics,799.1,171.86,5,Returning,Wallet,0.1,1.4,0,S007,M002,2025-11-09
ORD00029,Electronics,2933.61,826.63,3,New,COD,0.07,2.2,0,S006,M002,2025-10-03
ORD00030,Clothing,2713.11,797.05,6,Returning,UPI,0.03,4.5,0,S004,M001,2025-11-20
ORD00031,Grocery,4641.72,1337.76,5,Returning,UPI,0.24,3.2,0,S007,M002,2025-09-08
ORD00032,Home,245.75,24.57,3,New,COD,0.15,2.0,0,S002,M001,2025-11-07
ORD00033,Clothing,1847.11,541.12,4,Returning,Wallet,0.11,1.2,1,S001,M001,2025-10-05
ORD00034,Electronics,3893.58,259.95,3,Returning,Card,0.23,4.7,0,S007,M002,2025-09-22
ORD00035,Grocery,331.58,96.0,4,New,UPI,0.12,1.5,0,S007,M002,2025-10-09
ORD00036,Footwear,4328.48,437.76,5,Returning,UPI,0.1,3.9,0,S002,M001,2025-10-14
ORD00037,Grocery,1573.13,434.36,1,Returning,Card,0.04,2.5,0,S004,M001,2025-11-05
ORD00038,Home,2182.9,751.2,7,New,COD,0.2,2.4,0,S009,M003,2025-09-15
ORD00039,Home,4033.82,1279.58,1,New,Card,0.13,2.6,0,S010,M003,2025-11-11
ORD00040,Grocery,3493.31,242.99,1,Returning,Card,0.04,2.0,0,S006,M002,2025-10-12
ORD00041,Clothing,1021.31,97.89,4,New,Card,0.08,4.2,1,S010,M003,2025-11-09
ORD00042,Home,4193.52,943.13,4,New,UPI,0.21,1.4,0,S007,M002,2025-11-19
ORD00043,Beauty,4959.31,852.67,6,New,COD,0.05,1.6,0,S009,M003,2025-10-23
ORD00044,Home,3981.36,391.19,1,New,UPI,0.23,4.8,1,S004,M001,2025-11-11
ORD00045,Home,278.98,24.31,2,New,UPI,0.19,3.7,1,S005,M001,2025-09-27
ORD00046,Home,4820.37,344.03,1,New,COD,0.24,2.7,0,S003,M001,2025-10-20
ORD00047,Footwear,715.09,219.35,6,Returning,Wallet,0.09,2.8,1,S002,M001,2025-09-06
ORD00048,Electronics,4798.46,449.33,4,Returning,COD,0.08,2.2,0,S006,M002,2025-10-08
ORD00049,Grocery,3287.77,814.05,1,Returning,UPI,0.13,2.7,1,S010,M003,2025-09-03
ORD00050,Grocery,4129.06,339.11,5,New,Wallet,0.25,3.4,0,S007,M002,2025-10-20
ORD00051,Clothing,4091.25,913.96,5,Returning,Wallet,0.05,1.6,0,S010,M003,2025-11-24
ORD00052,Home,4166.61,772.2,3,New,UPI,0.19,1.9,0,S008,M002,2025-10-03
ORD00053,Electronics,2445.13,289.53,6,New,UPI,0.16,4.2,1,S002,M001,2025-09-24
ORD00054,Clothing,1589.26,169.39,5,Returning,Wallet,0.1,4.7,0,S004,M001,2025-09-02
ORD00055,Footwear,2003.41,534.76,3,New,Card,0.15,1.7,0,S001,M001,2025-10-16
ORD00056,Home,4305.21,572.14,7,New,Wallet,0.02,3.4,1,S003,M001,2025-09-29
ORD00057,Clothing,4004.43,1230.42,5,Returning,UPI,0.03,3.1,1,S004,M001,2025-10-18
ORD00058,Grocery,1942.03,553.73,1,Returning,UPI,0.02,4.0,1,S010,M003,2025-11-16
ORD00059,Beauty,3971.21,1012.74,3,Returning,Card,0.08,2.2,0,S010,M003,2025-10-12
ORD00060,Clothing,2382.66,157.6,6,New,COD,0.14,1.7,1,S008,M002,2025-09-27
ORD00061,Home,738.34,233.9,6,New,Wallet,0.15,4.4,0,S010,M003,2025-10-18
ORD00062,Electronics,3332.47,1049.78,2,New,Card,0.05,4.8,0,S001,M001,2025-09-20
ORD00063,Beauty,3364.72,552.22,7,New,COD,0.04,3.3,0,S001,M001,2025-10-24
ORD00064,Footwear,1269.5,394.69,4,Returning,UPI,0.2,1.7,0,S010,M003,2025-10-24
ORD00065,Clothing,3395.48,366.88,6,Returning,Card,0.2,4.9,0,S009,M003,2025-10-22
ORD00066,Beauty,3752.96,1162.31,3,New,Card,0.15,1.8,0,S009,M003,2025-11-22
ORD00067,Footwear,2012.96,104.69,7,Returning,Card,0.01,4.5,0,S002,M001,2025-11-19
ORD00068,Beauty,4512.81,657.1,4,New,COD,0.06,1.9,1,S010,M003,2025-10-01
ORD00069,Electronics,3132.02,338.55,5,New,COD,0.17,1.4,0,S009,M003,2025-10-23
ORD00070,Clothing,1607.67,253.56,6,Returning,Card,0.05,3.3,1,S007,M002,2025-10-12
ORD00071,Home,1385.79,462.98,1,Returning,Wallet,0.17,4.6,0,S006,M002,2025-09-02
ORD00072,Grocery,2587.85,752.65,7,Returning,COD,0.2,1.2,0,S003,M001,2025-09-11
ORD00073,Footwear,3724.94,429.53,3,New,Wallet,0.03,5.0,1,S007,M002,2025-09-02
ORD00074,Home,1342.24,117.81,1,New,Card,0.05,3.2,0,S006,M002,2025-09-07
ORD00075,Home,1810.91,97.73,5,Returning,Wallet,0.09,1.1,0,S009,M003,2025-09-04
ORD00076,Home,2604.76,541.31,4,New,COD,0.01,2.3,1,S009,M003,2025-10-29
